,gameid,playerguid,sessionid,playername,session_duration_seconds,kills,deaths,longest_kill_streak,average_kill_distance,shortest_kill_distance,longest_kill_distance,accuracy
919,185,Nicole_Tucker,8330405089884940389,,220,0,1,0,0.0,0.0,0.0,0.0
920,185,Randy_Johnson,8330405089884940389,,205,1,1,1,81.180419921875,81.180419921875,81.180419921875,50.0
923,185,Gary_Chavez,8330405089884940389,,250,0,1,0,0.0,0.0,0.0,0.0
933,185,Teresa_Ayala,8330405089884940389,,341,0,1,0,0.0,0.0,0.0,0.0
943,185,Jacob_Moore,8330405089884940389,,382,0,0,0,0.0,0.0,0.0,0.0
944,185,Darrell_Walker,8330405089884940389,,437,0,1,0,0.0,0.0,0.0,0.0
953,185,David_Freeman,8330405089884940389,,658,0,1,0,0.0,0.0,0.0,0.0
965,185,Paula_Brown,8330405089884940389,,656,2,1,2,211.38916015625,123.30126953125,299.47705078125,28.5714302062988
966,185,Christine_Moyer,8330405089884940389,,755,4,0,4,2202.20776367187,344.06295776367205,5373.91796875,70.0
967,185,Danielle_Thompson,8330405089884940389,,769,0,0,0,0.0,0.0,0.0,0.0
