,gameid,sessionid,playerguid,framenumber,frametime_ms,posX,posY,posZ,viewW,viewX,viewY,viewZ,tickflags,stateflags,fov,health,weapon_id
0,185,4959622521724689016,Beginner,4421,14619,-122793.03125,-1012.1976928710938,2253.628173828125,0.8350579738616943,0.011228743009269238,0.017055189236998558,-0.549782931804657,0,2,90,0,14
1,185,4959622521724689016,Beginner,4467,190,-122617.21875,-1223.3951416015625,2253.628173828125,0.8781266808509827,0.00747322104871273,0.013723980635404587,-0.4781728684902191,0,2,90,0,14
2,185,4959622521724689016,Beginner,4601,2662,-121344.3359375,-2143.9482421875,2253.628173828125,-0.29278939962387085,0.035375162959098816,-0.01084029022604227,-0.9554608464241028,0,2,90,0,14
3,185,4959622521724689016,Beginner,4601,2662,-121344.3359375,-2143.9482421875,2253.628173828125,-0.26135680079460144,0.0355723537504673,-0.009638886898756027,-0.9645383954048157,0,2,90,0,14
4,185,4959622521724689016,Beginner,4656,1721,-121233.1328125,-2175.320556640625,2253.628173828125,0.13325056433677673,4.750941661768593e-05,-6.387619123415789e-06,0.9910823702812195,0,2,90,0,14
5,185,4959622521724689016,Beginner,4706,1566,-121475.6015625,-2144.5087890625,2253.628173828125,-0.038091979920864105,0.02126692421734333,-0.0008108715410344303,-0.999047577381134,0,2,90,0,14
6,185,4959622521724689016,Beginner,4708,62,-121496.484375,-2122.772705078125,2253.628173828125,-0.03794872760772705,0.02074022963643074,-0.000787802622653544,-0.9990641474723816,0,0,90,0,14
7,185,4959622521724689016,Beginner,4724,499,-121863.296875,-2069.294921875,2253.628173828125,-0.03703857958316803,0.020980406552553177,-0.0007777896826155484,-0.9990932941436768,0,2,90,0,11
8,185,4959622521724689016,Beginner,5139,3566,-124050.5703125,-2495.23095703125,2253.628173828125,0.1422571837902069,0.07352197170257568,0.010596373118460178,-0.9870385527610779,0,0,90,0,11
9,185,4959622521724689016,Beginner,5840,85,-122228.078125,-1918.2034912109375,2253.628173828125,-0.9996073246002197,0.00013234438665676862,-0.027607828378677368,-0.004791844170540571,0,4,90,0,11
10,185,4959622521724689016,Beginner,6548,1252,-123016.796875,-963.6512451171875,2253.628173828125,-0.998940646648407,0.0006925861234776676,-0.016043229028582573,-0.04312426596879959,0,2,90,0,14
11,185,4959622521724689016,Beginner,6550,61,-123015.859375,-974.1805419921875,2253.628173828125,-0.9989495277404785,0.000673232483677566,-0.015612284652888775,-0.04307667538523674,0,0,90,0,14
12,185,4959622521724689016,Beginner,6710,822,-120952.421875,-2342.590576171875,2253.628173828125,-0.10494080185890198,0.19761347770690918,-0.021282237023115158,-0.9744144082069397,0,2,90,0,11
13,185,4959622521724689016,Beginner,6766,1379,-121188.9453125,-1745.798828125,2253.628173828125,0.4249339699745178,0.07885289192199707,0.03718831017613411,-0.9010162949562073,0,2,90,0,11
14,185,4959622521724689016,Beginner,6780,126,-121441.03125,-1928.7581787109375,2253.628173828125,-0.07781830430030823,0.0032020271755754948,0.0002499355177860707,0.9969623684883118,0,0,90,0,11
15,185,4959622521724689016,Beginner,6824,402,-121363.8046875,-1650.3206787109375,2253.628173828125,0.00033554903347976506,0.007430150639265776,-2.4932487576734275e-06,0.9999723434448242,0,4,90,0,11
16,185,4959622521724689016,Beginner,6859,1096,-122664.03125,-2464.130126953125,2253.628173828125,-0.02541080303490162,0.13434651494026184,-0.0034462385810911655,-0.9906025528907776,0,2,90,0,11
17,185,4959622521724689016,Beginner,6962,1577,-122711.328125,-1824.685546875,2253.628173828125,0.3429378867149353,0.07096228003501892,0.025990933179855347,-0.9363132119178772,0,2,90,0,11
18,185,4959622521724689016,Beginner,7029,1658,-123299.1015625,-1673.5345458984375,2253.628173828125,0.1472731977701187,0.01868000626564026,0.0027819001115858555,-0.9889155030250549,0,2,90,0,14
19,185,4959622521724689016,Beginner,7138,62,-124083.5234375,-2054.58154296875,2253.628173828125,-0.03893139958381653,0.04012982174754143,-0.0015647598775103688,-0.9984345436096191,0,2,90,0,14
20,185,4959622521724689016,Beginner,7138,62,-124083.5234375,-2054.58154296875,2253.628173828125,-0.03989066183567047,0.038836050778627396,-0.0015516041312366724,-0.998447835445404,0,2,90,0,14
21,185,4959622521724689016,Beginner,7186,626,-124069.15625,-2151.132568359375,2253.628173828125,0.7316558361053467,0.004901414271444082,0.005261087324470282,-0.6816363334655762,0,2,90,0,14
22,185,4959622521724689016,Beginner,7188,62,-124053.5625,-2155.767333984375,2253.628173828125,0.7300897240638733,0.004323894158005714,0.004619828891009092,-0.683322012424469,0,0,90,0,14
23,185,4959622521724689016,Beginner,7232,62,-124001.546875,-2441.719970703125,2253.628173828125,0.6835379600524902,0.019830377772450447,0.01858329027891159,-0.729408860206604,0,2,90,0,14
24,185,4959622521724689016,Beginner,7405,95,-124672.0859375,-3413.400390625,2253.628173828125,-0.9134378433227539,0.005732667166739702,-0.012874341569840908,-0.4067341983318329,0,2,90,0,14
25,185,4959622521724689016,Beginner,7445,215,-124635.34375,-3451.44921875,2253.628173828125,-0.8979266285896301,0.019555162638425827,-0.040100421756505966,-0.43787822127342224,0,2,90,0,11
26,185,4959622521724689016,Beginner,7502,121,-124307.9609375,-3712.38134765625,2253.628173828125,-0.676654577255249,0.07668986171483994,-0.07120015472173691,-0.7288262844085693,0,2,90,0,11
27,185,4959622521724689016,Beginner,7585,187,-124305.375,-3711.038330078125,2253.628173828125,0.9906754493713379,0.0016329733189195395,0.13571082055568695,-0.01192054245620966,0,2,90,0,11
28,185,4959622521724689016,Beginner,7664,374,-124344.1953125,-3859.484375,2253.628173828125,0.9348441362380981,0.019125541672110558,0.050958551466464996,-0.35086163878440857,0,2,90,0,14
29,185,4959622521724689016,Beginner,7666,64,-124358.734375,-3876.362060546875,2253.628173828125,0.9373185038566589,0.01780848205089569,0.04843495786190033,-0.3446316421031952,0,0,90,0,14
30,185,4959622521724689016,Beginner,7752,1690,-123617.1640625,-4446.8046875,2253.6279296875,-0.9772452712059021,0.012466087937355042,0.05999136343598366,0.20306965708732605,0,0,90,0,11
31,185,4959622521724689016,Beginner,7781,564,-123563.8828125,-4415.884765625,2253.6279296875,0.9602813124656677,0.009023518301546574,0.03126738592982292,-0.27712950110435486,0,4,90,0,11
32,185,4959622521724689016,Beginner,7794,405,-123908.375,-4043.261474609375,2413.290283203125,0.6630557775497437,0.060562942177057266,0.05396218225359917,-0.7441620826721191,0,2,90,0,11
33,185,4959622521724689016,Beginner,7841,437,-124019.6328125,-3640.191650390625,2253.628173828125,0.8413133025169373,0.024032212793827057,0.03753172233700752,-0.5387074947357178,0,4,90,0,11
34,185,4959622521724689016,Beginner,7842,35,-124019.6328125,-3640.191650390625,2253.628173828125,0.8413133025169373,0.024032212793827057,0.03753172233700752,-0.5387074947357178,0,2,90,0,11
35,185,4959622521724689016,Beginner,8028,62,-123237.9140625,-1880.9329833984375,2253.628173828125,0.6095860600471497,0.09310050308704376,0.07239817082881927,-0.7838977575302124,0,2,90,0,11
36,185,4959622521724689016,Beginner,8120,102,-123237.9140625,-1880.9329833984375,2253.628173828125,0.6095860600471497,0.09310050308704376,0.07239817082881927,-0.7838977575302124,0,9,90,0,11
37,185,4959622521724689016,Beginner,8122,32,62416.703125,11998.9501953125,3121.80908203125,0.8078986406326294,0.026383234187960625,0.03627390041947365,-0.5876120328903198,0,1,90,600,11
38,185,4959622521724689016,Beginner,8124,35,62416.703125,11998.9501953125,3121.80908203125,-0.4226086139678955,0.0,0.0,0.9063122868537903,0,1,90,600,11
39,185,4959622521724689016,Beginner,8126,34,62416.703125,11998.9501953125,3121.80908203125,-0.4204784035682678,0.0008698651799932122,0.0004031287389807403,0.9073020219802856,0,1,90,600,11
40,185,4959622521724689016,Beginner,8128,33,62416.703125,11998.9501953125,3121.80908203125,0.3487282693386078,0.004986931104212999,0.0018555991118773818,-0.9372087717056274,0,1,90,600,11
41,185,4959622521724689016,Beginner,8130,29,62416.703125,11998.9501953125,3121.80908203125,0.33968526124954224,0.002750272862613201,0.000993293826468289,-0.9405345916748047,0,1,90,600,11
42,185,4959622521724689016,Beginner,8134,30,62416.703125,11998.9501953125,3121.80908203125,-0.286037802696228,0.012355816550552845,0.0036886692978441715,0.9581315517425537,0,1,90,600,11
